iter	Passed	Remaining
581	1547	11743
582	1549	11739
583	1552	11737
584	1554	11732
585	1557	11732
586	1560	11730
587	1562	11727
588	1565	11723
589	1567	11718
590	1570	11714
591	1573	11714
592	1575	11710
593	1578	11707
594	1580	11703
595	1583	11701
596	1586	11698
597	1588	11696
598	1591	11696
599	1594	11691
600	1596	11687
601	1599	11683
602	1601	11678
603	1604	11675
604	1606	11673
605	1609	11670
606	1612	11667
607	1614	11662
608	1616	11658
609	1619	11654
610	1622	11653
611	1624	11650
612	1627	11645
613	1629	11641
614	1632	11638
615	1634	11633
616	1636	11628
617	1639	11626
618	1642	11628
619	1645	11625
620	1648	11623
621	1650	11619
622	1653	11618
623	1673	11733
624	1676	11735
625	1679	11734
626	1682	11732
627	1684	11730
628	1688	11730
629	1690	11725
630	1692	11720
631	1695	11715
632	1697	11711
633	1700	11707
634	1702	11705
635	1705	11702
636	1708	11700
637	1710	11696
638	1713	11692
639	1715	11689
640	1718	11688
641	1721	11687
642	1724	11682
643	1726	11679
644	1729	11676
645	1731	11672
646	1734	11672
647	1737	11670
648	1740	11666
649	1742	11661
650	1744	11656
651	1747	11651
652	1749	11646
653	1752	11644
654	1755	11642
655	1757	11637
656	1759	11633
657	1762	11629
658	1764	11625
659	1767	11622
660	1770	11622
661	1773	11619
662	1775	11615
663	1778	11612
664	1780	11608
665	1783	11604
666	1786	11602
667	1788	11599
668	1791	11594
669	1793	11591
670	1795	11586
671	1798	11582
672	1801	11581
673	1803	11576
674	1806	11572
675	1808	11570
676	1811	11567
677	1814	11563
678	1816	11562
679	1819	11558
680	1821	11554
681	1824	11550
682	1826	11546
683	1829	11541
684	1831	11538
685	1834	11536
686	1836	11532
687	1839	11530
688	1842	11528
689	1845	11525
690	1847	11522
691	1850	11517
692	1852	11513
693	1854	11508
694	1857	11506
695	1860	11503
696	1862	11499
697	1865	11495
698	1867	11491
699	1870	11488
700	1873	11487
701	1876	11487
702	1878	11484
703	1881	11480
704	1883	11476
705	1886	11472
706	1889	11473
707	1892	11471
708	1894	11467
709	1897	11463
710	1899	11459
711	1902	11455
712	1906	11461
713	1909	11460
714	1911	11455
715	1913	11451
716	1916	11447
717	1918	11443
718	1921	11442
719	1924	11441
720	1927	11436
721	1929	11432
722	1931	11428
723	1934	11425
724	1937	11424
725	1940	11420
726	1942	11417
727	1945	11414
728	1947	11411
729	1950	11406
730	1952	11402
731	1955	11400
732	1957	11396
733	1960	11392
734	1962	11388
735	1965	11385
736	1967	11380
737	1970	11380
738	1973	11379
739	1975	11375
740	1978	11371
741	1980	11367
742	1983	11363
743	1986	11362
744	1989	11360
745	1991	11356
746	1993	11352
747	1996	11349
748	1998	11345
749	2001	11343
750	2004	11338
751	2006	11335
752	2009	11332
753	2011	11329
754	2014	11325
755	2016	11321
756	2019	11319
757	2022	11316
758	2024	11313
759	2027	11309
760	2029	11304
761	2031	11300
762	2034	11299
763	2037	11299
764	2040	11296
765	2042	11291
766	2045	11287
767	2047	11283
768	2050	11281
769	2053	11279
770	2055	11275
771	2058	11271
772	2060	11267
773	2062	11262
774	2065	11259
775	2068	11257
776	2070	11254
777	2073	11250
778	2075	11245
779	2077	11241
780	2080	11238
781	2083	11237
782	2086	11236
783	2089	11233
784	2091	11230
785	2093	11225
786	2096	11222
787	2099	11221
788	2101	11218
789	2104	11214
790	2106	11210
791	2109	11206
792	2111	11201
793	2114	11199
794	2116	11197
795	2119	11194
796	2121	11190
797	2124	11186
798	2126	11183
799	2129	11179
800	2132	11178
801	2134	11175
802	2137	11172
803	2139	11167
804	2142	11165
805	2145	11163
806	2148	11163
807	2151	11160
808	2153	11155
809	2155	11152
810	2158	11148
811	2160	11144
